"pitch [deg], pitch_time [ms] pitch_crc"
"53,12452.37"
"-7.74,2121,2113.26"
"-7.74,2136,2128.26"
"-7.74,2151,2143.26"
"-7.74,2166,2158.26"
"-7.74,2181,2173.26"
"-7.74,2196,2188.26"
"-7.74,2211,2203.26"
"-7.74,2226,2218.26"
"-7.74,2241,2233.26"
"-7.74,2256,2248.26"
"-7.74,2271,2263.26"
"-7.74,2286,2278.26"
"-7.74,2301,2293.26"
"-7.74,2316,2308.26"
"-7.74,2331,2323.26"
"-7.74,2346,2338.26"
"-7.74,2361,2353.26"
"-7.74,2376,2368.26"
"-7.74,2391,2383.26"
"-7.74,2406,2398.26"
"-7.74,2421,2413.26"
"-7.74,2436,2428.26"
"-7.74,2451,2443.26"
"-7.74,2466,2458.26"
"-7.74,2481,2473.26"
"-7.74,2496,2488.26"
"-7.74,2511,2503.26"
"-7.74,2526,2518.26"
"-7.74,2541,2533.26"
"-7.74,2556,2548.26"
"-7.74,2571,2563.26"
"-7.74,2586,2578.26"
"-7.74,2601,2593.26"
"-7.74,2616,2608.26"
"-7.74,2631,2623.26"
"-7.74,2646,2638.26"
"-7.74,2661,2653.26"
"-7.74,2676,2668.26"
"-7.74,2691,2683.26"
"-7.74,2706,2698.26"
"-7.74,2721,2713.26"
"-7.74,2736,2728.26"
"-7.74,2751,2743.26"
"-7.74,2766,2758.26"
"-7.74,2781,2773.26"
"-7.74,2796,2788.26"
"-7.74,2811,2803.26"
"-7.74,2826,2818.26"
"-7.74,2841,2833.26"
"-7.74,2856,2848.26"
"-7.74,2871,2863.26"
"-7.74,2886,2878.26"
"-7.74,2901,2893.26"
"-7.74,2916,2908.26"
"-7.74,2931,2923.26"
"-7.74,2946,2938.26"
"-7.74,2961,2953.26"
"-7.74,2976,2968.26"
"-7.74,2991,2983.26"
"-7.74,3006,2998.26"
"-7.74,3021,3013.26"
"-7.74,3036,3028.26"
"-7.74,3051,3043.26"
"-7.74,3066,3058.26"
"-7.77,3081,3073.23"
"-7.78,3096,3088.22"
"-7.76,3111,3103.24"
"-7.75,3126,3118.25"
"-7.78,3141,3133.22"
"-7.75,3156,3148.25"
"-7.73,3171,3163.27"
"-7.66,3186,3178.34"
"-7.60,3201,3193.40"
"-7.48,3216,3208.52"
"-7.33,3231,3223.67"
"-7.06,3246,3238.94"
"-6.76,3261,3254.24"
"-6.40,3276,3269.60"
"-5.99,3291,3285.01"
"-5.55,3306,3300.45"
"-5.07,3321,3315.93"
"-4.53,3336,3331.47"
"-3.96,3351,3347.04"
"-3.33,3366,3362.67"
"-2.69,3381,3378.31"
"-2.00,3396,3394.00"
"-1.28,3411,3409.72"
"-0.53,3426,3425.47"
"0.22,3441,3441.22"
"1.00,3456,3457.00"
"1.80,3471,3472.80"
"2.61,3486,3488.61"
"3.44,3501,3504.44"
"4.27,3516,3520.27"
"5.11,3531,3536.11"
"5.97,3546,3551.97"
"6.82,3561,3567.82"
"7.69,3576,3583.69"
"8.55,3591,3599.55"
"9.41,3606,3615.41"
"10.26,3621,3631.26"
"11.12,3636,3647.12"
"11.98,3651,3662.98"
"12.82,3666,3678.82"
"13.66,3681,3694.66"
"14.48,3696,3710.48"
"15.29,3711,3726.29"
"16.06,3726,3742.06"
"16.84,3741,3757.84"
"17.59,3756,3773.59"
"18.31,3771,3789.31"
"19.03,3786,3805.03"
"19.74,3801,3820.74"
"20.43,3816,3836.43"
"21.10,3831,3852.10"
"21.78,3846,3867.78"
"22.42,3861,3883.42"
"23.06,3876,3899.06"
"23.68,3891,3914.68"
"24.28,3906,3930.28"
"24.87,3921,3945.87"
"25.43,3936,3961.43"
"25.99,3951,3976.99"
"26.54,3966,3992.54"
"27.07,3981,4008.07"
"27.59,3996,4023.59"
"28.10,4011,4039.10"
"28.60,4026,4054.60"
"29.09,4041,4070.09"
"29.56,4056,4085.56"
"30.02,4071,4101.02"
"30.46,4086,4116.46"
"30.90,4101,4131.90"
"31.31,4116,4147.31"
"31.72,4131,4162.72"
"32.09,4146,4178.09"
"32.47,4161,4193.47"
"32.82,4176,4208.82"
"33.16,4191,4224.17"
"33.48,4206,4239.48"
"33.78,4221,4254.78"
"34.06,4236,4270.06"
"34.31,4251,4285.31"
"34.53,4266,4300.53"
"34.74,4281,4315.74"
"34.93,4296,4330.93"
"35.08,4311,4346.08"
"35.21,4326,4361.21"
"35.31,4341,4376.31"
"35.38,4356,4391.38"
"35.42,4371,4406.42"
"35.44,4386,4421.44"
"35.45,4401,4436.45"
"35.44,4416,4451.44"
"35.41,4431,4466.41"
"35.34,4446,4481.34"
"35.26,4461,4496.26"
"35.14,4476,4511.14"
"34.99,4491,4525.99"
"34.81,4506,4540.81"
"34.62,4521,4555.62"
"34.41,4536,4570.41"
"34.18,4551,4585.18"
"33.94,4566,4599.94"
"33.68,4581,4614.68"
"33.42,4596,4629.42"
"33.14,4611,4644.14"
"32.85,4626,4658.85"
"32.54,4641,4673.54"
"32.22,4656,4688.22"
"31.88,4671,4702.88"
"31.53,4686,4717.53"
"31.16,4701,4732.16"
"30.77,4716,4746.77"
"30.38,4731,4761.38"
"29.98,4746,4775.98"
"29.57,4761,4790.57"
"29.16,4776,4805.16"
"28.75,4791,4819.75"
"28.32,4806,4834.32"
"27.89,4821,4848.89"
"27.47,4836,4863.47"
"27.03,4851,4878.03"
"26.59,4866,4892.59"
"26.13,4881,4907.13"
"25.68,4896,4921.68"
"25.21,4911,4936.21"
"24.75,4926,4950.75"
"24.28,4941,4965.28"
"23.81,4956,4979.81"
"23.35,4971,4994.35"
"22.90,4986,5008.90"
"22.45,5001,5023.46"
"22.01,5016,5038.01"
"21.57,5031,5052.57"
"21.14,5046,5067.14"
"20.71,5061,5081.71"
"20.28,5076,5096.28"
"19.84,5091,5110.84"
"19.39,5106,5125.40"
"18.94,5121,5139.94"
"18.49,5136,5154.49"
"18.02,5151,5169.02"
"17.54,5166,5183.54"
"17.05,5181,5198.05"
"16.55,5196,5212.55"
"16.04,5211,5227.04"
"15.53,5226,5241.53"
"15.02,5241,5256.02"
"14.51,5256,5270.51"
"14.00,5271,5285.00"
"13.49,5286,5299.49"
"12.98,5301,5313.98"
"12.46,5316,5328.46"
"11.96,5331,5342.96"
"11.45,5346,5357.45"
"10.94,5361,5371.94"
"10.43,5376,5386.43"
"9.94,5391,5400.94"
"9.44,5406,5415.44"
"8.95,5421,5429.96"
"8.47,5436,5444.47"
"7.99,5451,5458.99"
"7.52,5466,5473.52"
"7.06,5481,5488.06"
"6.60,5496,5502.60"
"6.14,5511,5517.14"
"5.68,5526,5531.68"
"5.22,5541,5546.22"
"4.75,5556,5560.75"
"4.29,5571,5575.29"
"3.83,5586,5589.83"
"3.38,5601,5604.38"
"2.92,5616,5618.92"
"2.47,5631,5633.47"
"2.02,5646,5648.02"
"1.58,5661,5662.58"
"1.15,5676,5677.15"
"0.73,5691,5691.73"
"0.32,5706,5706.32"
"-0.05,5721,5720.95"
"-0.43,5736,5735.57"
"-0.79,5751,5750.21"
"-1.13,5766,5764.87"
"-1.46,5781,5779.54"
"-1.75,5796,5794.25"
"-2.02,5811,5808.98"
"-2.27,5826,5823.73"
"-2.47,5841,5838.52"
"-2.64,5856,5853.36"
"-2.76,5871,5868.24"
"-2.84,5886,5883.16"
"-2.88,5901,5898.12"
"-2.88,5916,5913.12"
"-2.84,5931,5928.16"
"-2.77,5946,5943.23"
"-2.68,5961,5958.32"
"-2.55,5976,5973.45"
"-2.40,5991,5988.60"
"-2.14,6006,6003.86"
"-1.87,6021,6019.13"
"-1.57,6036,6034.42"
"-1.25,6051,6049.75"
"-0.89,6066,6065.11"
"-0.51,6081,6080.49"
"-0.12,6096,6095.88"
"0.30,6111,6111.30"
"0.74,6126,6126.74"
"1.20,6141,6142.20"
"1.67,6156,6157.67"
"2.18,6171,6173.18"
"2.71,6186,6188.71"
"3.28,6201,6204.28"
"3.88,6216,6219.88"
"4.52,6231,6235.52"
"5.19,6246,6251.19"
"5.89,6261,6266.90"
"6.62,6276,6282.62"
"7.38,6291,6298.38"
"8.14,6306,6314.14"
"8.91,6321,6329.91"
"9.68,6336,6345.68"
"10.47,6351,6361.47"
"11.24,6366,6377.24"
"12.03,6381,6393.03"
"12.82,6396,6408.83"
"13.62,6411,6424.62"
"14.42,6426,6440.42"
"15.21,6441,6456.21"
"16.01,6456,6472.01"
"16.80,6471,6487.80"
"17.59,6486,6503.59"
"18.35,6501,6519.35"
"19.12,6516,6535.12"
"19.85,6531,6550.85"
"20.57,6546,6566.57"
"21.28,6561,6582.28"
"21.96,6576,6597.96"
"22.62,6591,6613.62"
"23.25,6606,6629.25"
"23.85,6621,6644.85"
"24.43,6636,6660.43"
"24.98,6651,6675.98"
"25.51,6666,6691.52"
"26.03,6681,6707.03"
"26.52,6696,6722.52"
"27.00,6711,6738.00"
"27.46,6726,6753.46"
"27.91,6741,6768.91"
"28.36,6756,6784.36"
"28.80,6771,6799.80"
"29.23,6786,6815.23"
"29.67,6801,6830.67"
"30.11,6816,6846.11"
"30.55,6831,6861.55"
"30.98,6846,6876.98"
"31.40,6861,6892.40"
"31.82,6876,6907.82"
"32.24,6891,6923.24"
"32.64,6906,6938.64"
"33.05,6921,6954.05"
"33.44,6936,6969.44"
"33.82,6951,6984.82"
"34.20,6966,7000.20"
"34.57,6981,7015.57"
"34.94,6996,7030.94"
"35.29,7011,7046.29"
"35.63,7026,7061.63"
"35.96,7041,7076.96"
"36.28,7056,7092.28"
"36.58,7071,7107.58"
"36.86,7086,7122.86"
"37.14,7101,7138.14"
"37.40,7116,7153.40"
"37.64,7131,7168.64"
"37.85,7146,7183.85"
"38.05,7161,7199.05"
"38.21,7176,7214.21"
"38.36,7191,7229.36"
"38.47,7206,7244.48"
"38.57,7221,7259.57"
"38.65,7236,7274.65"
"38.70,7251,7289.70"
"38.74,7266,7304.74"
"38.74,7281,7319.75"
"38.74,7296,7334.75"
"38.73,7311,7349.73"
"38.66,7326,7364.66"
"38.59,7341,7379.59"
"38.49,7356,7394.49"
"38.36,7371,7409.36"
"38.20,7386,7424.21"
"38.03,7401,7439.03"
"37.84,7416,7453.85"
"37.64,7431,7468.64"
"37.40,7446,7483.40"
"37.15,7461,7498.15"
"36.89,7476,7512.89"
"36.59,7491,7527.59"
"36.29,7506,7542.29"
"35.95,7521,7556.95"
"35.59,7536,7571.60"
"35.21,7551,7586.21"
"34.81,7566,7600.81"
"34.39,7581,7615.39"
"33.96,7596,7629.96"
"33.51,7611,7644.51"
"33.04,7626,7659.04"
"32.56,7641,7673.56"
"32.07,7656,7688.07"
"31.56,7671,7702.56"
"31.04,7686,7717.04"
"30.51,7701,7731.51"
"29.98,7716,7745.98"
"29.44,7731,7760.44"
"28.91,7746,7774.91"
"28.37,7761,7789.37"
"27.83,7776,7803.83"
"27.30,7791,7818.30"
"26.76,7806,7832.76"
"26.23,7821,7847.23"
"25.69,7836,7861.69"
"25.15,7851,7876.15"
"24.61,7866,7890.62"
"24.07,7881,7905.08"
"23.53,7896,7919.53"
"22.97,7911,7933.97"
"22.42,7926,7948.42"
"21.86,7941,7962.86"
"21.30,7956,7977.30"
"20.75,7971,7991.75"
"20.20,7986,8006.21"
"19.66,8001,8020.67"
"19.13,8016,8035.13"
"18.62,8031,8049.62"
"18.12,8046,8064.12"
"17.63,8061,8078.63"
"17.16,8076,8093.16"
"16.70,8091,8107.70"
"16.26,8106,8122.26"
"15.83,8121,8136.83"
"15.41,8136,8151.41"
"14.99,8151,8165.99"
"14.59,8166,8180.59"
"14.18,8181,8195.18"
"13.77,8196,8209.77"
"13.36,8211,8224.37"
"12.96,8226,8238.96"
"12.55,8241,8253.55"
"12.12,8256,8268.12"
"11.70,8271,8282.70"
"11.28,8286,8297.28"
"10.84,8301,8311.84"
"10.41,8316,8326.41"
"9.98,8331,8340.98"
"9.55,8346,8355.55"
"9.11,8361,8370.11"
"8.68,8376,8384.68"
"8.24,8391,8399.24"
"7.82,8406,8413.82"
"7.39,8421,8428.39"
"6.97,8436,8442.97"
"6.57,8451,8457.57"
"6.16,8466,8472.17"
"5.78,8481,8486.78"
"5.39,8496,8501.39"
"5.02,8511,8516.02"
"4.66,8526,8530.66"
"4.32,8541,8545.32"
"3.99,8556,8559.99"
"3.67,8571,8574.67"
"3.37,8586,8589.37"
"3.08,8601,8604.08"
"2.80,8616,8618.80"
"2.54,8631,8633.54"
"2.29,8646,8648.29"
"2.04,8661,8663.04"
"1.81,8676,8677.81"
"1.59,8691,8692.59"
"1.39,8706,8707.39"
"1.21,8721,8722.21"
"1.03,8736,8737.04"
"0.87,8751,8751.87"
"0.73,8766,8766.73"
"0.60,8781,8781.60"
"0.49,8796,8796.49"
"0.39,8811,8811.39"
"0.31,8826,8826.31"
"0.26,8841,8841.26"
"0.24,8856,8856.24"
"0.25,8871,8871.25"
"0.30,8886,8886.30"
"0.37,8901,8901.37"
"0.47,8916,8916.47"
"0.61,8931,8931.61"
"0.85,8946,8946.85"
"1.12,8961,8962.12"
"1.41,8976,8977.41"
"1.75,8991,8992.75"
"2.10,9006,9008.10"
"2.49,9021,9023.49"
"2.91,9036,9038.91"
"3.35,9051,9054.35"
"3.82,9066,9069.83"
"4.32,9081,9085.32"
"4.84,9096,9100.84"
"5.40,9111,9116.40"
"5.98,9126,9131.98"
"6.59,9141,9147.59"
"7.21,9156,9163.21"
"7.87,9171,9178.87"
"8.52,9186,9194.52"
"9.20,9201,9210.20"
"9.88,9216,9225.88"
"10.58,9231,9241.58"
"11.29,9246,9257.29"
"11.99,9261,9272.99"
"12.69,9276,9288.69"
"13.40,9291,9304.40"
"14.11,9306,9320.11"
"14.83,9321,9335.83"
"15.55,9336,9351.55"
"16.26,9351,9367.26"
"16.97,9366,9382.96"
"17.67,9381,9398.67"
"18.35,9396,9414.35"
"19.03,9411,9430.03"
"19.68,9426,9445.68"
"20.33,9441,9461.33"
"20.97,9456,9476.97"
"21.60,9471,9492.60"
"22.22,9486,9508.22"
"22.83,9501,9523.83"
"23.43,9516,9539.43"
"24.00,9531,9555.00"
"24.57,9546,9570.57"
"25.12,9561,9586.12"
"25.66,9576,9601.66"
"26.20,9591,9617.20"
"26.71,9606,9632.71"
"27.22,9621,9648.22"
"27.71,9636,9663.71"
"28.20,9651,9679.20"
"28.67,9666,9694.67"
"29.15,9681,9710.15"
"29.61,9696,9725.61"
"30.07,9711,9741.07"
"30.52,9726,9756.52"
"30.97,9741,9771.97"
"31.43,9756,9787.43"
"31.88,9771,9802.88"
"32.33,9786,9818.33"
"32.78,9801,9833.78"
"33.22,9816,9849.22"
"33.65,9831,9864.65"
"34.06,9846,9880.07"
"34.46,9861,9895.46"
"34.84,9876,9910.84"
"35.22,9891,9926.22"
"35.59,9906,9941.59"
"35.95,9921,9956.95"
"36.30,9936,9972.30"
"36.65,9951,9987.65"
"36.99,9966,10002.99"
"37.33,9981,10018.33"
"37.66,9996,10033.66"
"37.98,10011,10048.98"
"38.29,10026,10064.29"
"38.57,10041,10079.57"
"38.84,10056,10094.84"
"39.09,10071,10110.09"
"39.30,10086,10125.30"
"39.48,10101,10140.48"
"39.64,10116,10155.64"
"39.74,10131,10170.74"
"39.82,10146,10185.83"
"39.88,10161,10200.88"
"39.90,10176,10215.90"
"39.91,10191,10230.91"
"39.91,10206,10245.91"
"39.89,10221,10260.89"
"39.83,10236,10275.83"
"39.77,10251,10290.77"
"39.66,10266,10305.66"
"39.52,10281,10320.52"
"39.35,10296,10335.35"
"39.16,10311,10350.16"
"3"
"38.70,10341,10379.70"
"38.45,10356,10394.45"
"38.17,10371,10409.17"
"37.88,10386,10423.88"
"37.25,10416,10453.25"
"36.91,10431,10467.91"
"36.55,10446,10482.55"
"36.19,10461,10497.19"
"35.80,10476,10511.80"
"35.41,10491,10526.42"
"35.02,10506,10541.02"
"34.61,10521,10555.61"
"34.20,10536,10570.20"
"33.79,10551,10584.79"
"33.35,10566,10599.35"
"32.92,10581,10613.92"
"32.48,10596,10628.48"
"32.03,10611,10643.03"
"31.57,10626,10657.57"
"31.10,10641,10672.10"
"30.63,10656,10686.63"
"30.12,10671,10701.12"
"29.61,10686,10715.61"
"29.08,10701,10730.08"
"28.53,10716,10744.53"
"27.97,10731,10758.97"
"27.40,10746,10773.41"
"26.84,10761,10787.84"
"26.27,10776,10802.27"
"25.70,10791,10816.70"
"25.14,10806,10831.14"
"24.56,10821,10845.56"
"23.99,10836,10859.99"
"23.41,10851,10874.41"
"22.83,10866,10888.83"
"22.24,10881,10903.24"
"21.64,10896,10917.64"
"21.03,10911,10932.03"
"20.41,10926,10946.41"
"19.79,10941,10960.79"
"19.16,10956,10975.16"
"18.52,10971,10989.52"
"17.89,10986,11003.89"
"17.25,11001,11018.25"
"16.62,11016,11032.62"
"16.00,11031,11047.00"
"15.37,11046,11061.37"
"14.75,11061,11075.75"
"14.14,11076,11090.14"
"13.53,11091,11104.53"
"12.91,11106,11118.92"
"12.30,11121,11133.30"
"11.69,11136,11147.69"
"11.08,11151,11162.08"
"10.48,11166,11176.48"
"9.87,11181,11190.87"
"9.28,11196,11205.28"
"8.69,11211,11219.69"
"8.12,11226,11234.12"
"7.55,11241,11248.55"
"7.00,11256,11263.00"
"6.45,11271,11277.45"
"5.93,11286,11291.93"
"5.43,11301,11306.43"
"4.94,11316,11320.94"
"4.48,11331,11335.48"
"4.05,11346,11350.05"
"3.64,11361,11364.64"
"3.24,11376,11379.24"
"2.85,11391,11393.85"
"2.48,11406,11408.48"
"2.12,11421,11423.12"
"1.78,11436,11437.78"
"1.45,11451,11452.45"
"1.14,11466,11467.14"
"0.85,11481,11481.86"
"0.58,11496,11496.58"
"0.34,11511,11511.34"
"0.12,11526,11526.12"
"-0.08,11541,11540.92"
"-0.27,11556,11555.73"
"-0.44,11571,11570.56"
"-0.59,11586,11585.41"
"-0.73,11601,11600.27"
"-0.85,11616,11615.14"
"-0.94,11631,11630.05"
"-1.03,11646,11644.97"
"-1.09,11661,11659.91"
"-1.12,11676,11674.87"
"-1.14,11691,11689.86"
"-1.14,11706,11704.86"
"-1.12,11721,11719.88"
"-1.06,11736,11734.94"
"-0.98,11751,11750.02"
"-0.87,11766,11765.13"
"-0.73,11781,11780.27"
"-0.47,11796,11795.53"
"-0.19,11811,11810.81"
"0.13,11826,11826.13"
"0.49,11841,11841.50"
"0.91,11856,11856.91"
"1.33,11871,11872.33"
"1.80,11886,11887.80"
"2.29,11901,11903.29"
"2.81,11916,11918.81"
"3.34,11931,11934.34"
"3.88,11946,11949.88"
"4.44,11961,11965.44"
"5.00,11976,11981.00"
"5.60,11991,11996.60"
"6.21,12006,12012.21"
"6.84,12021,12027.84"
"7.50,12036,12043.50"
"8.16,12051,12059.16"
"8.86,12066,12074.86"
"9.56,12081,12090.56"
"10.26,12096,12106.26"
"10.97,12111,12121.97"
"11.68,12126,12137.68"
"12.40,12141,12153.40"
"13.11,12156,12169.11"
"13.84,12171,12184.84"
"14.56,12186,12200.56"
"15.29,12201,12216.29"
"16.02,12216,12232.02"
"16.75,12231,12247.75"
"17.48,12246,12263.48"
"18.21,12261,12279.21"
"18.93,12276,12294.93"
"19.65,12291,12310.65"
"20.36,12306,12326.36"
"21.06,12321,12342.06"
"21.75,12336,12357.75"
"22.43,12351,12373.43"
"23.09,12366,12389.09"
"23.74,12381,12404.74"
"24.38,12396,12420.38"
"25.00,12411,12436.00"
"25.60,12426,12451.61"
"26.20,12441,12467.20"
"26.77,12456,12482.77"
"27.32,12471,12498.32"
"27.86,12486,12513.86"
"28.38,12501,12529.38"
"28.88,12516,12544.88"
"29.36,12531,12560.36"
"29.82,12546,12575.82"
"30.25,12561,12591.25"
"30.66,12576,12606.66"
"31.04,12591,12622.04"
"31.39,12606,12637.39"
"31.72,12621,12652.72"
"32.03,12636,12668.03"
"32.32,12651,12683.32"
"32.59,12666,12698.59"
"32.84,12681,12713.84"
"33.07,12696,12729.08"
"33.28,12711,12744.28"
"33.48,12726,12759.48"
"33.66,12741,12774.66"
"33.82,12756,12789.82"
"33.97,12771,12804.97"
"34.08,12786,12820.08"
"34.18,12801,12835.18"
"34.24,12816,12850.24"
"34.27,12831,12865.27"
"34.28,12846,12880.28"
"34.27,12861,12895.27"
"34.23,12876,12910.23"
"34.14,12891,12925.14"
"33.99,12906,12939.99"
"33.80,12921,12954.80"
"33.56,12936,12969.56"
"33.29,12951,12984.29"
"32.97,12966,12998.97"
"32.63,12981,13013.62"
"32.24,12996,13028.24"
"31.83,13011,13042.83"
"31.41,13026,13057.41"
"30.96,13041,13071.96"
"30.49,13056,13086.49"
"30.01,13071,13101.01"
"29.52,13086,13115.52"
"29.02,13101,13130.02"
"28.52,13116,13144.52"
"28.02,13131,13159.02"
"27.52,13146,13173.52"
"27.03,13161,13188.03"
"26.52,13176,13202.52"
"26.03,13191,13217.03"
"25.51,13206,13231.51"
"25.01,13221,13246.01"
"24.49,13236,13260.49"
"23.97,13251,13274.97"
"23.44,13266,13289.45"
"22.90,13281,13303.91"
"22.37,13296,13318.37"
"21.82,13311,13332.82"
"21.26,13326,13347.26"
"20.69,13341,13361.69"
"20.12,13356,13376.12"
"19.55,13371,13390.55"
"18.96,13386,13404.96"
"18.39,13401,13419.39"
"17.80,13416,13433.80"
"17.21,13431,13448.21"
"16.62,13446,13462.62"
"16.03,13461,13477.03"
"15.43,13476,13491.43"
"14.83,13491,13505.83"
"14.23,13506,13520.23"
"13.63,13521,13534.63"
"13.03,13536,13549.03"
"12.44,13551,13563.44"
"11.84,13566,13577.84"
"11.26,13581,13592.26"
"10.68,13596,13606.68"
"10.09,13611,13621.09"
"9.49,13626,13635.50"
"8.89,13641,13649.89"
"8.28,13656,13664.28"
"7.65,13671,13678.65"
"7.01,13686,13693.01"
"6.36,13701,13707.36"
"5.71,13716,13721.71"
"5.06,13731,13736.06"
"4.41,13746,13750.41"
"3.77,13761,13764.77"
"3.15,13776,13779.15"
"2.55,13791,13793.55"
"1.97,13806,13807.97"
"1.41,13821,13822.41"
"0.89,13836,13836.89"
"0.40,13851,13851.40"
"-0.06,13866,13865.94"
"-0.49,13881,13880.50"
"-0.89,13896,13895.11"
"-1.27,13911,13909.73"
"-1.62,13926,13924.38"
"-1.94,13941,13939.06"
"-2.25,13956,13953.75"
"-2.55,13971,13968.45"
"-2.82,13986,13983.18"
"-3.07,14001,13997.93"
"-3.31,14016,14012.69"
"-3.53,14031,14027.47"
"-3.73,14046,14042.26"
"-3.91,14061,14057.09"
"-4.06,14076,14071.94"
"-4.18,14091,14086.82"
"-4.27,14106,14101.72"
"-4.33,14121,14116.67"
"-4.34,14136,14131.66"
"-4.33,14151,14146.67"
"-4.28,14166,14161.72"
"-4.21,14181,14176.79"
"-4.11,14196,14191.89"
"-3.98,14211,14207.02"
"-3.82,14226,14222.18"
"-3.54,14241,14237.46"
"-3.21,14256,14252.79"
"-2.84,14271,14268.16"
"-2.42,14286,14283.58"
"-1.95,14301,14299.05"
"-1.44,14316,14314.56"
"-0.88,14331,14330.12"
"-0.30,14346,14345.70"
"0.31,14361,14361.31"
"0.94,14376,14376.95"
"1.59,14391,14392.59"
"2.27,14406,14408.27"
"2.96,14421,14423.96"
"3.66,14436,14439.66"
"4.38,14451,14455.38"
"5.13,14466,14471.13"
"5.89,14481,14486.89"
"6.68,14496,14502.68"
"7.48,14511,14518.48"
"8.28,14526,14534.28"
