"pitch [deg], pitch_time [ms] pitch_crc"
"0.00,1ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"0.99,2536,2536.99"
"-0.67,2551,2550.33"
"0.03,2566,2566.03"
"0.63,2581,2581.63"
"-0.98,2596,2595.02"
"0.86,2611,2611.86"
"-0.33,2626,2625.67"
"-0.36,2641,2640.64"
"0.88,2656,2656.88"
"-0.98,2671,2670.02"
"0.60,2686,2686.60"
"0.06,2701,2701.06"
"-0.70,2716,2715.30"
"1.00,2731,2732.00"
"-0.82,2746,2745.18"
"0.25,2761,2761.25"
"0.44,2776,2776.44"
"-0.92,2791,2790.08"
"0.95,2806,2806.95"
"-0.53,2821,2820.47"
"-0.15,2836,2835.85"
"0.76,2851,2851.76"
"-1.00,2866,2865.00"
"0.76,2881,2881.76"
"-0.16,2896,2895.84"
"-0.52,2911,2910.48"
"0.95,2926,2926.95"
"-0.92,2941,2940.08"
"0.45,2956,2956.45"
"0.24,2971,2971.24"
"-0.81,2986,2985.19"
"1.00,3001,3002.00"
"-0.70,3016,3015.30"
"0.07,3031,3031.07"
"0.59,3046,3046.59"
"-0.97,3061,3060.03"
"0.89,3076,3076.89"
"-0.37,3091,3090.63"
"-0.32,3106,3105.68"
"0.86,3121,3121.86"
"-0.99,3136,3135.01"
"0.64,3151,3151.64"
"0.02,3166,3166.02"
"-0.66,3181,3180.34"
"0.99,3196,3196.99"
"-0.84,3211,3210.16"
"0.29,3226,3226.29"
"0.40,3241,3241.40"
"-0.90,3256,3255.10"
"0.97,3271,3271.97"
"-0.57,3286,3285.43"
"-0.11,3301,3300.89"
"0.73,3316,3316.73"
"-1.00,3331,3330.00"
"0.79,3346,3346.79"
"-0.20,3361,3360.80"
"-0.48,3376,3375.52"
"0.94,3391,3391.94"
"-0.94,3406,3405.06"
"0.49,3421,3421.49"
"0.19,3436,3436.19"
"-0.78,3451,3450.22"
"1.00,3466,3467.00"
"-0.73,3481,3480.27"
""
